Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,proba_return,returned_pred
ORD00000000,PROD00000000,USER00000000,2023-08-05,2024-08-26,Clothing,411.59,3,Changed mind,Returned,387.0,58,Male,City54,Debit Card,Next-Day,45.27,0.9996162367061588,1
ORD00000001,PROD00000001,USER00000001,2023-10-09,2023-11-09,Books,288.88,3,Wrong item,Returned,31.0,68,Female,City85,Credit Card,Express,47.79,0.9995122715350141,1
ORD00000002,PROD00000002,USER00000002,2023-05-06,,Toys,390.03,5,,Not Returned,,22,Female,City30,Debit Card,Next-Day,26.64,0.00046877901315310676,0
ORD00000003,PROD00000003,USER00000003,2024-08-29,,Toys,401.09,3,,Not Returned,,40,Male,City95,PayPal,Next-Day,15.37,0.00040124398367358526,0
ORD00000004,PROD00000004,USER00000004,2023-01-16,,Books,110.09,4,,Not Returned,,34,Female,City80,Gift Card,Standard,16.37,0.0004689746789974239,0
ORD00000005,PROD00000005,USER00000005,2024-02-14,2024-09-22,Electronics,252.12,1,Defective,Returned,221.0,46,Female,City47,Debit Card,Next-Day,47.61,0.9995981159111703,1
ORD00000006,PROD00000006,USER00000006,2023-05-29,2023-08-03,Clothing,382.89,2,Wrong item,Returned,66.0,25,Male,City50,Credit Card,Express,28.49,0.9995569822488444,1
ORD00000007,PROD00000007,USER00000007,2023-02-09,2024-08-01,Electronics,306.39,3,Not as described,Returned,539.0,67,Female,City39,Credit Card,Express,38.91,0.9995633892856,1
ORD00000008,PROD00000008,USER00000008,2024-12-25,2024-09-25,Home,302.4,5,Defective,Returned,-91.0,54,Male,City81,Debit Card,Standard,18.5,0.9995017478399267,1
ORD00000009,PROD00000009,USER00000009,2023-03-10,2024-01-21,Clothing,294.94,3,Not as described,Returned,317.0,44,Male,City82,Credit Card,Standard,45.21,0.9995937452228056,1
ORD00000010,PROD00000010,USER00000010,2024-05-26,,Toys,119.0,2,,Not Returned,,70,Female,City41,Credit Card,Next-Day,8.72,0.0004668234017061481,0
ORD00000011,PROD00000011,USER00000011,2024-02-08,,Home,480.48,4,,Not Returned,,54,Male,City22,Gift Card,Next-Day,0.27,0.00047766727371519903,0
ORD00000012,PROD00000012,USER00000012,2024-06-07,,Toys,216.41,3,,Not Returned,,66,Male,City17,PayPal,Standard,30.26,0.00039537807586035694,0
ORD00000013,PROD00000013,USER00000013,2023-07-22,,Electronics,198.78,2,,Not Returned,,51,Male,City85,PayPal,Next-Day,36.58,0.0004993869220960703,0
ORD00000014,PROD00000014,USER00000014,2024-09-01,,Electronics,146.37,4,,Not Returned,,45,Male,City9,PayPal,Next-Day,28.23,0.0005031242670207467,0
ORD00000015,PROD00000015,USER00000015,2024-10-02,2023-12-04,Electronics,370.08,2,Wrong item,Returned,-303.0,24,Female,City27,Credit Card,Standard,23.99,0.9995217639049522,1
ORD00000016,PROD00000016,USER00000016,2024-05-09,,Clothing,311.08,1,,Not Returned,,52,Female,City77,PayPal,Standard,6.66,0.00043244643048348557,0
ORD00000017,PROD00000017,USER00000017,2023-02-03,2023-06-03,Electronics,400.12,1,Defective,Returned,120.0,33,Male,City33,PayPal,Standard,18.25,0.9994727899052998,1
ORD00000018,PROD00000018,USER00000018,2024-10-07,2023-03-18,Books,358.31,1,Changed mind,Returned,-569.0,51,Female,City43,PayPal,Standard,11.84,0.9994007751864582,1
ORD00000019,PROD00000019,USER00000019,2024-07-06,2024-05-01,Electronics,227.94,5,Changed mind,Returned,-66.0,50,Female,City64,Debit Card,Express,43.86,0.9995693401120844,1
ORD00000020,PROD00000020,USER00000020,2023-07-03,,Clothing,6.14,1,,Not Returned,,31,Female,City70,Credit Card,Next-Day,47.47,0.000571504653910853,0
ORD00000021,PROD00000021,USER00000021,2024-02-28,2023-01-06,Books,85.69,2,Changed mind,Returned,-418.0,30,Female,City26,Debit Card,Standard,24.58,0.9995322791410456,1
ORD00000022,PROD00000022,USER00000022,2024-07-13,2023-09-13,Books,227.2,5,Wrong item,Returned,-304.0,65,Female,City90,Gift Card,Next-Day,27.94,0.9995651106239611,1
ORD00000023,PROD00000023,USER00000023,2024-07-01,2024-01-24,Electronics,57.14,2,Wrong item,Returned,-159.0,41,Female,City28,Gift Card,Standard,43.06,0.9995600091832224,1
ORD00000024,PROD00000024,USER00000024,2024-07-27,,Toys,274.29,2,,Not Returned,,18,Male,City84,Gift Card,Express,2.49,0.0004537791333179639,0
ORD00000025,PROD00000025,USER00000025,2024-11-22,,Electronics,371.15,5,,Not Returned,,58,Female,City83,Gift Card,Standard,18.68,0.000491656000722303,0
ORD00000026,PROD00000026,USER00000026,2023-03-05,,Toys,232.97,5,,Not Returned,,21,Female,City98,Debit Card,Express,9.85,0.0004422159206629885,0
ORD00000027,PROD00000027,USER00000027,2024-05-26,,Home,455.82,1,,Not Returned,,52,Female,City10,PayPal,Express,11.96,0.00039315953354747386,0
ORD00000028,PROD00000028,USER00000028,2024-05-15,2024-09-05,Toys,106.6,5,Defective,Returned,113.0,53,Male,City69,Credit Card,Standard,18.42,0.9994828079455794,1
ORD00000029,PROD00000029,USER00000029,2024-04-06,,Books,317.9,5,,Not Returned,,59,Female,City32,Gift Card,Standard,18.05,0.00046042577764195326,0
ORD00000030,PROD00000030,USER00000030,2023-05-02,,Toys,413.34,3,,Not Returned,,49,Male,City55,Credit Card,Standard,38.29,0.0004419342786676018,0
